device_id,phone_brand,device_model
1877775838486905855,vivo,Y13
-3766087376657242966,小米,V183
-6238937574958215831,OPPO,R7s
8973197758510677470,三星,A368t
-2015528097870762664,小米,红米Note2
-8896952452425303597,小米,红米Note3
-2634171391322875113,小米,S5.1
-2526386806972133373,三星,Galaxy Grand Prime
1427934937997164515,小米,MI 2S
2866484947180243791,三星,Galaxy Note 2
-1788272684905942357,OPPO,R1C
3888046152514759348,酷派,大神F1Plus
-8290049751573565686,小米,note顶配版
7566850031220622843,三星,Galaxy Mega 2
7702755134578190493,联想 ,星星1号
2210317512148990062,三星,Galaxy S4
6413840150233100470,小米,MI 3
-7157178797095341985,OPPO,Find 7
3773929364530635568,三星,Galaxy S4
-221375520372280325,华为,C8816
-1529784001868224729,小米,红米note
4850625369950350903,小米,MI 2S
-8705713195059105949,vivo,X6 L
-8237879889852702762,三星,Galaxy Win
9169567266060728256,奇酷,青春版
-2659978419129676300,魅族,MX3
7284092388756598809,vivo,Y35
4861461186174922250,三星,Galaxy S4
6328635369683925487,华为,G520-5000
7041718166515288774,华为,荣耀4A
-1236911788776265857,魅族,魅蓝Note 2
8160454408307831353,华为,Y560-CL00
4774893156465007808,华为,荣耀7i
3849619405853553440,OPPO,R7s
-4673024056609443545,OPPO,3000
5470448269705457016,华为,荣耀畅玩4C
2343579866000413303,华为,荣耀畅玩4C
9123578208462773473,斐讯,C730Lw
-7433504688399805169,小米,红米2A
-3204910612963454775,中国移动,A1
2447736478478001359,小米,红米Note2
-4565983969660056221,华为,荣耀4A
6388479051361027798,HTC,One
-7551177178690081198,三星,Galaxy J7
7282984770550295272,OPPO,R3
-7576597756028049029,魅族,MX2
-5359700961533042039,华为,荣耀畅玩5
-2195934948798249763,小米,红米2A
-192352794899525229,华为,荣耀7
-6356216319990099800,小米,红米Note3
5658503144090334304,小米,红米Note3
5362414323913396709,小米,MI 4
-5213772073878480965,HTC,One M8
7429804557855734395,酷派,大神F1Plus
3555236982352164337,小米,红米1S
-4812392510358928779,华为,麦芒4
5717123589381461122,三星,Galaxy S6 Edge
3743323523263244174,三星,A3800d
4295419075302941056,三星,P780
91862595983858433,华为,Ascend G7
5040917292554192732,华为,荣耀6
-298209719519394007,vivo,Xperia SL
2867376881216420730,小米,红米note
5191524460861112478,vivo,Y17T
6697710099523141698,小米,红米2A
-1716802318038722504,华为,荣耀畅玩4X
2491834756764052202,小米,红米Note2
4587826855157237169,小米,MI 4
-8493829029096165645,华为,Ascend P7
-6917920679995755523,三星,Galaxy Grand 2
-5309065816258250269,华为,荣耀3X畅玩版
-3870196764022791304,华为,荣耀3X畅玩版
1695370769288061373,小米,MI 2S
-278068502873964170,华为,荣耀X2
-2893885378330434404,小米,红米note
-912049581523959454,小米,MI 2S
292490367575458114,华为,Ascend P8
-4360555508973614819,华为,Ascend P8
4212674843428101228,小米,note顶配版
4639336036346111635,OPPO,R2017
-5718006612845148817,魅族,魅蓝NOTE
8915561730113476471,华为,Mate 2
-4324052415866163942,HTC,M8
8267071147690589949,天语,T87+
-6811020752449486929,vivo,X710L
-3627593989895490489,小米,红米2A
-1331297413733813437,三星,A890e
-4918287877159341617,OPPO,R7
4071189105200132729,vivo,X5M
-7417783733821429514,魅族,MX5
-8511468882134219711,三星,Galaxy Mega 5.8
1721264555614172216,小米,红米note
6436642349073758222,至尊宝,L81
-6947252461631064868,vivo,Xperia Z1
4653180589912788852,华为,荣耀6 Plus
-1448462447603417846,vivo,X5Max+
-1095322848316287559,三星,Galaxy J5
7159481660763360016,三星,Galaxy Note 4
-7551022170420705991,华为,荣耀畅玩4X
8913712665560554000,OPPO,A31
-8535054574873945625,小米,GN706L
-201913740969188733,LG,G3
3542609564785412310,小米,红米Note2
-5671369060219766721,华为,荣耀4A
-100940592492056221,华为,荣耀3X畅玩版
8900820791949736369,OPPO,A31
-9180926281340471711,华为,P8 Lite
-8834197419666116450,HTC,Sensation XE with Beats Audio Z715e
7264816067417084803,三星,A880
-7442953120881930488,华为,荣耀+
3036896777601266392,vivo,X5L
-4664826343102058626,酷派,8720L
7217630266393848921,欧博信,IVO 6655
612130167135025468,OPPO,R7 Plus
-958885459095616125,华为,荣耀畅玩4
6583615012141971106,魅族,MX4
453830899211448672,华为,Y635-TL00
6501207118535898105,OPPO,R7 Plus
6022573162602849507,魅族,魅蓝NOTE
-5302541723675315957,三星,Galaxy Note 4
6290471445634216317,三星,Galaxy S3
1245304237162917806,vivo,X3L
3490014235418428347,OPPO,R7 Plus
-942277992798295690,优米,3
66371103820484651,魅族,魅蓝NOTE
-936229475314307255,OPPO,R807
-2052931391884354863,三星,黄金斗士A8
2495325660978320665,HTC,One X
281919665103431151,华为,荣耀6 Plus
7149703526428520096,小米,小米note
-7764984413175280318,OPPO,R6007
3361290527680006429,三星,Galaxy S2 Plus
1251552303715560512,优米,R1
8243526688621021992,小米,MI 4
3230310033150954188,小米,MI 4
-5857644671281076071,小米,MI 4
-29417624882649495,华为,荣耀3C
-4625727081731996510,小米,红米note
-1888038150727552835,OPPO,A31
-8598165017411771057,小米,小米4C
8432654329875462892,OPPO,R823T
4088195813844675474,小米,红米note
2059755379196360083,华为,Mate 7
-2137254309449876987,三星,Galaxy Note 2
3112068045705732552,小米,MI 2
-9177307476920384286,小米,红米Note2
1173167147066151986,华为,荣耀3X畅玩版
9147649881414493430,小米,MI 2S
-8415017597050690671,小米,红米Note2
-4765045079954976569,酷派,F2
-2910907458123210285,华为,荣耀畅玩4C
5178547052069202900,OPPO,Find 7
966221935852465578,小米,MI 2S
-739079869002392564,三星,Galaxy S5
-7699716794422319427,vivo,Xperia TX
6457541248272582514,OPPO,A31
802817220412171544,三星,Galaxy S5
-5849854081076173130,小米,note顶配版
-3222776250853963251,三星,Galaxy Trend DUOS 2
-3879814950608035840,ZUK,Z1
8565274130668106625,华为,荣耀3X畅玩版
-8651665791729763140,小米,MI 2S
1228560407293443629,华为,Ascend P8
1702736327130287622,vivo,Y11IT
5361561146989183803,小米,红米note增强版
-2991070776784842454,三星,Galaxy S4
-1149982181569750169,OPPO,A31
1969430954850806984,小米,MI 3
-9180656534144532607,小米,天鉴W900
-7073378532221464420,华为,Ascend G700T
1608982815239116756,三星,Galaxy Note 3
-4244857800457832965,三星,Galaxy R
-7930945000118591468,小米,F301
-4338342114905461103,华为,荣耀畅玩5X
4486340976295203389,小米,红米note
-3183647977013292586,OPPO,N1 Mini
8394627758435216403,vivo,X5M
6154574796085364029,OPPO,Find 5
7028710317607338037,小米,红米note
-8931357977554266315,奇酷,青春版
-3105139098919670576,小米,小米note
-7512807473685808927,华为,荣耀畅玩4C
-4645265162522195186,小米,红米2
-7779024476214423627,小米,红米note增强版
4821188344512951911,vivo,X5Pro
-6804409317631863501,vivo,X5V
-1471555669853512141,小米,红米note
2228793902948671507,OPPO,A11
-4506037980642577602,小米,MI pad
-6542619556983326172,OPPO,R1
6817020593563771960,努比亚,Z7 Mini
1604294017098291062,小米,红米2A
-6914116235104401043,三星,Galaxy Note 5
-5016858682269222163,小米,小米4C
2245330978838477229,华为,MediaPad M2-801W
559670674810483440,三星,Galaxy J5
835081718953722180,魅族,魅蓝Note 2
5239695402507119552,小米,MI 3
-4254733899160289728,奇酷,青春版
2016969891061346864,三星,Galaxy Grand Neo Plus
61327251415190511,华为,Ascend GX1
197934938249113639,小米,红米note
463679977175061055,小米,MI 3
1084123005508667663,小米,MI 2S
9073815480828593798,OPPO,R817
-8126302119835621758,vivo,X3T
-6183582202662359302,三星,Galaxy E7
-6355933532242418611,华为,荣耀3X畅玩版
217445952540199645,小米,X817
2877422230403206693,小米,GN700W
4177039748786282819,华为,荣耀6
9188025633060370895,华为,荣耀畅玩4X
7810188155959021092,小米,MI 4
-8927426486423851326,魅族,魅蓝Note 2
1041180170966084486,vivo,Y20T
1256369741925334811,华为,荣耀+
5055162262471561212,三星,A680
5017417916377750590,小米,红米2A
-4071758319202042733,OPPO,R7
-6804922457174088323,华为,荣耀4A
625164286551776757,小米,红米Note2
7476559289032341946,OPPO,R7 Plus
7734229661190115075,华为,荣耀畅玩4X
-6247247125500122830,vivo,Y27
