device_id,gender,age,group
-8076087639492063270,M,35,M32-38
-2897161552818060146,M,35,M32-38
-8260683887967679142,M,35,M32-38
-4938849341048082022,M,30,M29-31
245133531816851882,M,30,M29-31
-1297074871525174196,F,24,F24-26
236877999787307864,M,36,M32-38
-8098239495777311881,M,38,M32-38
176515041953473526,M,33,M32-38
1596610250680140042,F,36,F33-42
9032155484127182494,M,31,M29-31
7477216237379271436,F,37,F33-42
2478205222798310601,F,28,F27-28
6352067998666467520,M,32,M32-38
-7605360767281960867,M,48,M39+
1508636020748379883,F,28,F27-28
4380872794486415327,M,38,M32-38
-1039701474753771322,M,38,M32-38
-6876541075223249434,M,75,M39+
6287938418661076759,M,33,M32-38
-6029676723224952628,F,39,F33-42
8026504930081700361,M,25,M23-26
1118970699362079126,M,24,M23-26
-7271319853104672050,M,27,M27-28
-9216966316587614491,M,29,M29-31
-4913644674161904021,M,34,M32-38
2313145512701915151,M,34,M32-38
4309468945717577632,F,36,F33-42
-4547337748907986143,M,37,M32-38
-7216269352973401877,M,37,M32-38
-7303294878482532208,M,33,M32-38
7630241409816671260,M,35,M32-38
7106922851105968241,M,22,M22-
-5825546292084395293,M,31,M29-31
5886404762741543631,M,37,M32-38
3444770318780911055,M,36,M32-38
3549658489155683094,M,26,M23-26
-7360652256644378412,M,38,M32-38
-3207654344601946580,M,38,M32-38
-1279883160764317574,M,31,M29-31
3014072209520807550,M,28,M27-28
-2871140782885206484,M,22,M22-
-5070177130701218827,M,31,M29-31
-1539979963116391306,M,31,M29-31
-5349338524207284103,M,27,M27-28
-147287084274333707,M,27,M27-28
-5712152567169524766,M,27,M27-28
-3305321723886863103,M,27,M27-28
-800851341622326751,F,27,F27-28
6870382681059864892,M,29,M29-31
-1173303210238773591,F,34,F33-42
6677393742805480020,M,31,M29-31
1865480732945072123,M,31,M29-31
336916678843446187,F,36,F33-42
670584488453511085,F,36,F33-42
5874501925603975585,M,38,M32-38
-7058264257379185672,M,38,M32-38
-7731743086143077949,M,35,M32-38
-1457089681368225820,M,47,M39+
3098621662950438701,M,31,M29-31
-3563791052716940236,M,25,M23-26
-5348866880284858420,M,25,M23-26
-4180524547237520433,M,36,M32-38
-8428853393823283356,M,28,M27-28
-6290480893520011063,M,44,M39+
6223951438363242934,M,28,M27-28
-4370696809239943432,M,36,M32-38
-6083834394280548453,F,27,F27-28
-1246353335731124816,M,32,M32-38
-6552729385743211,M,28,M27-28
5938577683122528158,M,48,M39+
-3235628390898753137,M,44,M39+
-4144208717804687615,M,44,M39+
8844957623159520450,M,28,M27-28
4156261305872406545,M,21,M22-
-6785797459639810711,M,28,M27-28
-8080952034040064218,F,44,F43+
6354951364862886829,F,44,F43+
-7789505157081731608,M,25,M23-26
8240579676061663826,M,42,M39+
5439866249778803748,M,35,M32-38
-8140024683963050427,M,38,M32-38
-360168846769617446,M,38,M32-38
4049342567374065020,M,29,M29-31
5660846220747791709,F,64,F43+
2346793034696706898,M,28,M27-28
-4924030293291439654,M,42,M39+
1676196645503737870,M,42,M39+
4922799967163614958,M,24,M23-26
-6571452454273901516,M,46,M39+
-2056729718209154009,M,32,M32-38
404958689637790744,M,44,M39+
6895504244645409122,M,44,M39+
-7882183570062087941,M,24,M23-26
5446913796434345063,F,46,F43+
-3859751359584472885,M,30,M29-31
5662094349477792975,F,21,F23-
-4650666927489443566,F,21,F23-
3804056002627416258,M,29,M29-31
-8266281880829904174,M,29,M29-31
5973319239886062800,F,28,F27-28
202462323314332621,F,28,F27-28
7326636766251173655,M,27,M27-28
-4144445179725470192,M,21,M22-
8907764229603533579,F,23,F23-
-5261054643656080753,F,23,F23-
3819716873588642183,F,23,F23-
4650021665055865662,M,20,M22-
-5441393164079058849,F,34,F33-42
-8582139297114165642,F,25,F24-26
