REF_NO,children,age_band,status,occupation,occupation_partner,home_status,family_income,self_employed,self_employed_partner,year_last_moved,TVarea,post_code,post_area,Average_Credit_Card_Transaction,Balance_Transfer,Term_Deposit,Life_Insurance,Medical_Insurance,Average_A/C_Balance,Personal_Loan,Investment_in_Mutual_Fund,Investment_Tax_Saving_Bond,Home_Loan,Online_Purchase_Amount,gender,region,Investment_in_Commudity,Investment_in_Equity,Investment_in_Derivative,Portfolio_Balance,Revenue_Grid
5466,2,31-35,Partner,Professional,Professional,Own Home,">=35,000",No,No,1981,Meridian,M51 0GU,M51,26.98,29.99,312.25,299.79,88.72,108.85,175.43,134.35,8.98,55.44,7.68,Female,North West,151.55,81.79,136.02,360.37,2
9091,Zero,45-50,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1997,Meridian,L40 2AG,L40,35.98,74.48,0.0,99.96,10.99,48.45,15.99,0.0,0.0,0.0,18.99,Female,North West,44.28,13.91,29.23,89.22,2
9744,1,36-40,Partner,Manual Worker,Manual Worker,Rent Privately,"<22,500, >=20,000",Yes,Yes,1996,HTV,TA19 9PT,TA19,0.0,24.46,0.0,18.44,0.0,0.0,0.02,10.46,0.0,0.0,0.0,Female,South West,8.58,1.75,4.82,14.5,2
10700,2,31-35,Partner,Manual Worker,Manual Worker,Own Home,"<25,000, >=22,500",No,No,1990,Scottish TV,FK2 9NG,FK2,44.99,0.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,0.0,0.0,Female,Scotland,15.0,0.0,5.0,68.98,2
1987,Zero,55-60,Partner,Housewife,Professional,Own Home,">=35,000",No,No,1989,Yorkshire,LS23 7DJ,LS23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98,0.0,0.0,0.0,Female,Unknown,0.0,1.66,1.66,1.88,2
3309,Zero,45-50,Partner,Secretarial/Admin,Business Manager,Own Home,">=35,000",No,No,1984,Ulster,BT17 9NA,BT17,9.49,0.01,0.0,0.51,55.89,0.0,28.98,0.0,0.0,0.0,0.0,Female,Northern Ireland,13.18,4.83,14.23,33.62,2
6610,Zero,36-40,Partner,Secretarial/Admin,Secretarial/Admin,Own Home,"<30,000, >=27,500",Yes,No,1986,Central,B62 8TF,B62,9.99,0.0,0.0,0.0,0.0,26.96,22.99,80.42,1.0,3.99,5.49,Female,West Midlands,2.0,23.48,21.9,13.12,2
10621,Zero,61-65,Partner,Retired,Retired,Own Home,"<20,000, >=17,500",No,No,1998,Granada,PR8 2TY,PR8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.95,0.0,0.0,0.0,Male,North West,0.0,4.99,4.99,15.74,2
2630,1,45-50,Partner,Professional,Professional,Own Home,">=35,000",No,No,1980,Unknown,CF15 9TH,CF15,0.0,82.96,0.0,40.47,12.49,0.0,28.97,0.0,0.0,0.0,0.0,Female,Unknown,27.18,4.83,13.66,36.05,2
9356,3,36-40,Partner,Professional,Housewife,Own Home,"<27,500, >=25,000",Yes,No,1997,Meridian,M13 9BG,M13,0.0,0.0,0.0,0.0,0.0,0.0,15.99,0.0,24.47,0.0,0.0,Male,North West,0.0,6.74,6.74,8.6,2
8180,Zero,55-60,Partner,Retired,Retired,Own Home,"<27,500, >=25,000",No,Yes,1997,Granada,BB7 9BU,BB7,0.0,18.44,0.0,82.9,0.0,10.52,0.0,0.0,0.0,0.0,0.0,Male,North West,20.27,1.75,15.57,12.12,2
8648,Zero,65-70,Partner,Retired,Retired,Own Home,"< 4,000",No,No,1950,Central,L10 7JJ,L10,96.44,236.88,337.83,64.88,55.45,198.85,0.0,17.99,0.0,0.0,0.0,Female,North West,158.3,36.14,56.2,233.76,2
10231,Zero,41-45,Partner,Professional,Professional,Own Home,">=35,000",No,No,1986,Carlton,TW12 1DR,TW12,0.0,0.0,54.46,17.49,86.43,48.96,60.44,45.97,11.97,5.0,0.0,Male,South East,31.68,28.72,45.21,136.0,2
6892,Zero,65-70,Partner,Retired,Retired,Own Home,"<30,000, >=27,500",No,No,1971,Yorkshire,DN22 7HE,DN22,0.0,29.99,0.0,406.72,0.0,62.89,0.0,98.05,2.0,0.0,0.0,Male,East Midlands,87.34,27.16,94.94,263.67,1
7151,2,36-40,Divorced/Separated,Secretarial/Admin,Unknown,Rent from Council/HA,"<15,000, >=12,500",No,No,1995,Meridian,M18 3FS,M18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,North West,0.0,0.0,0.0,33.17,2
1784,Zero,51-55,Single/Never Married,Professional,Unknown,Own Home,"<25,000, >=22,500",No,No,1995,Carlton,AL10 8XW,AL10,29.99,21.49,22.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,South East,14.89,0.0,0.0,16.4,2
5342,Zero,65-70,Partner,Retired,Retired,Own Home,"<17,500, >=15,000",No,No,1986,Border,CA16 6SB,CA16,0.0,139.97,54.98,205.85,9.99,48.92,99.4,82.44,1.0,0.0,39.96,Female,North,82.16,45.29,74.6,213.11,2
10031,1,45-50,Partner,Other,Professional,Own Home,"<27,500, >=25,000",No,No,1987,Meridian,RG21 3LD,RG21,9.49,0.01,0.0,81.88,0.0,25.96,111.89,41.47,16.95,4.48,149.99,Female,South East,18.28,58.46,46.36,161.09,1
7554,2,26-30,Partner,Professional,Unknown,Own Home,"<25,000, >=22,500",No,No,1991,Tyne Tees,HG5 0HH,HG5,35.97,0.01,28.97,71.38,27.98,106.8,0.0,216.22,0.0,6.99,0.0,Female,Unknown,32.86,55.0,70.4,148.91,2
4499,Zero,55-60,Partner,Secretarial/Admin,Unknown,Own Home,"<17,500, >=15,000",No,Yes,1973,Anglia,IP11 7QW,IP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.98,Female,East Anglia,0.0,5.33,0.0,-8.09,2
2756,Zero,65-70,Partner,Unknown,Unknown,Own Home,"< 8,000, >= 4,000",No,No,1951,Anglia,CO9 1JP,CO9,280.44,0.0,27.99,62.45,56.46,146.93,14.49,0.0,0.0,0.0,305.46,Female,South East,85.47,77.81,46.72,150.69,1
9011,Zero,51-55,Partner,Retired,Housewife,Own Home,"<20,000, >=17,500",Yes,Yes,1970,Central,DY11 5DT,DY11,202.37,134.96,197.91,267.81,233.38,66.44,16.99,94.91,21.94,36.14,143.85,Male,West Midlands,207.29,63.38,116.91,401.18,2
10324,Zero,22-25,Single/Never Married,Business Manager,Unknown,Own Home,"<20,000, >=17,500",No,No,1995,Carlton,SS0 7DE,SS0,0.0,0.51,0.0,59.48,34.99,0.0,0.0,13.99,11.46,25.98,0.0,Male,South East,19.0,8.57,19.99,72.24,2
10681,Zero,71+,Widowed,Retired,Unknown,Rent from Council/HA,"< 8,000, >= 4,000",No,No,1991,Central,ST7 2YG,ST7,0.0,0.0,0.0,0.0,0.0,11.99,0.0,110.95,0.0,0.0,0.0,Male,West Midlands,0.0,20.49,20.49,77.84,2
4762,Zero,55-60,Partner,Secretarial/Admin,Unknown,Own Home,"<17,500, >=15,000",No,Yes,1998,Scottish TV,PA34 4RB,PA34,0.0,0.0,0.0,67.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,Scotland,13.59,0.0,11.33,-20.66,2
7555,Zero,31-35,Partner,Other,Manual Worker,Own Home,"<20,000, >=17,500",No,Yes,1991,HTV,CF39 9YD,CF39,36.98,0.0,94.48,0.0,69.95,0.0,14.49,0.0,0.0,0.0,0.0,Female,Wales,40.28,2.42,14.07,12.08,2
8332,3,41-45,Partner,Housewife,Professional,Own Home,">=35,000",No,No,1997,TV South West,TR1 3JG,TR1,0.0,0.0,0.0,0.0,10.49,0.0,0.0,0.0,0.0,0.0,0.0,Female,South West,2.1,0.0,1.75,-14.69,2
10518,Zero,45-50,Partner,Other,Business Manager,Own Home,">=35,000",No,No,1987,Anglia,NN15 6PY,NN15,149.48,104.96,0.0,35.98,0.0,0.0,0.0,15.48,0.0,0.0,19.48,Female,East Midlands,58.08,5.83,8.58,94.08,2
5343,2,41-45,Partner,Professional,Professional,Own Home,">=35,000",No,No,1993,HTV,BS49 4JB,BS49,55.47,21.97,0.0,17.99,0.0,4.99,43.98,11.99,0.0,0.0,15.47,Male,South West,19.09,12.74,13.16,23.54,2
10124,2,36-40,Partner,Student,Professional,Own Home,"<27,500, >=25,000",No,No,1987,Anglia,NR8 6TL,NR8,0.0,0.01,0.0,49.98,0.0,49.91,45.45,0.0,9.98,0.0,528.78,Female,East Anglia,10.0,105.69,25.89,93.91,1
2874,Zero,61-65,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1998,Meridian,L39 4NZ,L39,39.99,0.0,0.0,0.0,68.94,0.0,0.0,0.0,0.0,0.0,0.0,Female,North West,21.79,0.0,11.49,44.48,2
10617,Zero,55-60,Partner,Retired,Retired,Own Home,">=35,000",No,No,1978,Carlton,HP9 1PL,HP9,0.0,75.96,0.0,11.99,0.0,0.0,26.49,0.0,19.99,0.0,0.0,Female,South East,17.59,7.75,9.75,56.25,2
947,Zero,31-35,Partner,Secretarial/Admin,Manual Worker,Own Home,"<27,500, >=25,000",No,No,1993,Scottish TV,EH54 5NT,EH54,0.0,74.38,48.51,128.92,46.47,93.41,26.99,26.96,0.0,0.0,0.0,Female,Scotland,59.66,24.56,53.79,130.74,2
7643,1,61-65,Widowed,Housewife,Manual Worker,Rent from Council/HA,"< 4,000",No,No,1969,Granada,L36 4NQ,L36,0.0,83.93,10.02,58.84,0.52,2.48,0.53,23.83,0.0,5.48,0.0,Female,North West,30.66,5.39,14.37,26.94,2
