RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,ID,ACTION
75078,255037,118315,118316,118202,118784,262095,290919,118786,2270,1
79323,3120,117961,118300,120312,120313,120314,118424,120315,696,1
34958,8243,118555,118178,118320,117905,117906,290919,117908,13514,1
39371,7520,117961,118343,124725,117905,240983,290919,117908,13400,1
39330,17290,117961,118386,118522,117905,117906,290919,117908,6703,1
15818,2017,117961,118327,121645,124886,147144,118643,124888,24671,1
25638,1755,117961,117962,119223,125793,146749,118643,125795,1451,1
33235,16973,117961,118300,124942,117905,117906,290919,117908,4215,1
39939,4924,117961,118300,120144,118054,124356,117887,118055,11822,1
80765,25607,117961,118343,118856,118321,117906,290919,118322,11537,1
37798,33,117961,118413,119968,118784,117906,290919,118786,20496,1
20292,311085,117926,117927,117884,117885,117913,117887,117888,3305,1
20364,2908,117961,118343,118979,120344,303717,118424,120346,5516,1
39264,46663,118256,118257,118623,118274,286106,292795,118276,10614,0
45040,23338,117961,118052,118867,122129,270992,121916,122131,5421,1
6977,5690,117961,118413,120370,118784,117906,290919,118786,6173,1
78697,1334,117961,117962,118910,127782,129606,290919,127783,30766,1
80853,17713,117961,118225,122273,118321,240983,290919,118322,24630,1
75078,18686,117961,118386,121883,117905,290919,290919,117908,24266,1
40777,31851,118185,31010,117884,118568,244056,19721,118570,3584,1
38124,108550,117929,117930,117912,117879,117886,19721,117880,25067,0
0,87908,117961,118413,120370,118321,117906,290919,118322,6842,1
38718,10092,117910,117911,117884,117885,117913,117887,117888,32628,1
26800,1938,117961,118300,131868,120618,304465,118643,120619,16240,1
14845,16244,117961,118052,120318,118784,117906,290919,118786,6504,0
74483,4362,118212,118213,126955,119962,311618,118205,119964,1413,1
20289,29758,118120,118121,117884,117885,117913,117887,117888,1562,1
38268,50641,117926,118124,117941,117879,117886,19721,117880,26913,1
79092,23224,117961,118225,120535,118890,311441,118398,118892,9640,1
73756,14758,117961,118225,120054,118702,157677,118704,118705,21705,1
18519,32242,117961,118327,118929,118321,117906,290919,118322,24261,1
29621,82613,117961,118300,119984,118890,311441,118398,118892,4684,1
43150,5541,117961,118300,118514,118321,117906,290919,118322,8029,1
25993,6071,117961,118413,122007,118321,117906,290919,118322,5259,1
34735,4584,117961,118300,120297,117905,117906,290919,117908,31934,1
20222,38902,118256,118257,117945,118274,118806,292795,118276,3623,1
2789,8607,117961,118225,118403,117905,240983,290919,117908,14623,1
1151,50117,117961,118327,118507,118863,122008,118398,118865,180,1
38718,70506,117910,117911,117912,117885,117913,117887,117888,12375,1
42768,718,117961,118300,119181,118259,126363,290919,118261,8845,1
25231,1216,117902,117903,118507,120990,120991,118398,120992,27477,1
39262,7443,117961,118446,119961,118278,287351,290919,118279,25797,1
23921,4175,117961,118343,119598,120497,133686,118424,120499,8485,1
16639,17598,117961,118300,118631,135809,176829,118331,135811,25750,1
15739,69115,120864,121013,118450,119192,300603,119184,119194,19972,1
4675,59029,118555,118178,118320,118784,117906,290919,118786,469,1
18255,1409,117961,118300,118437,118685,139689,308574,118687,2166,1
45904,55934,118006,118007,117878,179731,124079,117887,117973,1027,1
73876,51226,117961,118327,118320,118451,118545,118453,118454,30944,1
21761,50952,117961,118327,118929,117905,117906,290919,117908,28025,1
3847,249,117961,118225,118403,117905,117906,290919,117908,7502,1
35469,3966,117961,118343,122012,117905,240983,290919,117908,22887,1
80252,4261,118212,118213,126955,118321,173628,290919,118322,27873,1
19733,7547,117961,118052,118933,118784,213944,290919,118786,27957,1
15023,18220,117961,118052,118867,118321,117906,290919,118322,18210,1
79126,4004,117961,118343,118856,118321,117906,290919,118322,27513,1
45185,61026,117929,117940,117920,118568,164985,19721,118570,28418,1
39445,17002,5110,117954,117895,118568,281735,19721,118570,9920,1
73756,20543,118169,118170,118556,117946,125711,292795,117948,1192,1
16443,15824,117961,118225,120323,120591,120324,119095,120593,32085,1
100028,1583,117961,118327,118507,179731,118054,117887,117973,7092,1
